asset,Date,AdrActCnt
eth,2019-08-23,312715
eth,2019-08-24,297544
eth,2019-08-25,295058
eth,2019-08-26,309070
eth,2019-08-27,308164
eth,2019-08-28,303065
eth,2019-08-29,308537
eth,2019-08-30,288572
eth,2019-08-31,282011
eth,2019-09-01,275912
eth,2019-09-02,319698
eth,2019-09-03,303296
eth,2019-09-04,296005
eth,2019-09-05,326386
eth,2019-09-06,320381
eth,2019-09-07,284448
eth,2019-09-08,279927
eth,2019-09-09,316921
eth,2019-09-10,296904
eth,2019-09-11,295327
eth,2019-09-12,301354
eth,2019-09-13,270785
eth,2019-09-14,271533
eth,2019-09-15,277976
eth,2019-09-16,307380
eth,2019-09-17,297547
eth,2019-09-18,305563
eth,2019-09-19,295149
eth,2019-09-20,309840
eth,2019-09-21,242789
eth,2019-09-22,239625
eth,2019-09-23,251471
eth,2019-09-24,296761
eth,2019-09-25,278971
eth,2019-09-26,265068
eth,2019-09-27,268165
eth,2019-09-28,248610
eth,2019-09-29,231663
eth,2019-09-30,285523
eth,2019-10-01,339783
eth,2019-10-02,327680
eth,2019-10-03,288751
eth,2019-10-04,268748
eth,2019-10-05,272795
eth,2019-10-06,343035
eth,2019-10-07,284288
eth,2019-10-08,306302
eth,2019-10-09,318125
eth,2019-10-10,326182
eth,2019-10-11,315705
eth,2019-10-12,279716
eth,2019-10-13,250851
eth,2019-10-14,300285
eth,2019-10-15,302212
eth,2019-10-16,291507
eth,2019-10-17,285894
eth,2019-10-18,310446
eth,2019-10-19,276993
eth,2019-10-20,248121
eth,2019-10-21,271474
eth,2019-10-22,274766
eth,2019-10-23,275838
eth,2019-10-24,272369
eth,2019-10-25,290755
eth,2019-10-26,303660
eth,2019-10-27,256776
eth,2019-10-28,290065
eth,2019-10-29,283366
eth,2019-10-30,278695
eth,2019-10-31,288701
eth,2019-11-01,287405
eth,2019-11-02,243269
eth,2019-11-03,230486
eth,2019-11-04,262207
eth,2019-11-05,302907
eth,2019-11-06,289661
eth,2019-11-07,375764
eth,2019-11-08,275241
eth,2019-11-09,230831
eth,2019-11-10,257611
eth,2019-11-11,284231
eth,2019-11-12,285556
eth,2019-11-13,278616
eth,2019-11-14,271266
eth,2019-11-15,257911
eth,2019-11-16,233167
eth,2019-11-17,242722
eth,2019-11-18,269423
eth,2019-11-19,283555
eth,2019-11-20,269725
eth,2019-11-21,306522
eth,2019-11-22,341671
eth,2019-11-23,281447
eth,2019-11-24,247215
eth,2019-11-25,326634
eth,2019-11-26,264714
eth,2019-11-27,252198
eth,2019-11-28,260028
eth,2019-11-29,280233
eth,2019-11-30,255240
eth,2019-12-01,244768
eth,2019-12-02,283061
eth,2019-12-03,250073
eth,2019-12-04,253029
eth,2019-12-05,288568
eth,2019-12-06,239911
eth,2019-12-07,207488
eth,2019-12-08,200052
eth,2019-12-09,269250
eth,2019-12-10,249591
eth,2019-12-11,250575
eth,2019-12-12,325420
eth,2019-12-13,346490
eth,2019-12-14,320605
eth,2019-12-15,327301
eth,2019-12-16,308325
eth,2019-12-17,285240
eth,2019-12-18,294956
eth,2019-12-19,277875
eth,2019-12-20,302200
eth,2019-12-21,358805
eth,2019-12-22,298388
eth,2019-12-23,295909
eth,2019-12-24,307989
eth,2019-12-25,314833
eth,2019-12-26,298790
eth,2019-12-27,259478
eth,2019-12-28,243589
eth,2019-12-29,270245
eth,2019-12-30,261226
eth,2019-12-31,232196
eth,2020-01-01,231794
eth,2020-01-02,220624
eth,2020-01-03,255934
eth,2020-01-04,240546
eth,2020-01-05,229160
eth,2020-01-06,274755
eth,2020-01-07,276248
eth,2020-01-08,283219
eth,2020-01-09,282797
eth,2020-01-10,329508
eth,2020-01-11,281332
eth,2020-01-12,231191
eth,2020-01-13,260729
eth,2020-01-14,311555
eth,2020-01-15,321562
eth,2020-01-16,305974
eth,2020-01-17,295218
eth,2020-01-18,290720
eth,2020-01-19,269233
eth,2020-01-20,258251
eth,2020-01-21,287729
eth,2020-01-22,272179
eth,2020-01-23,257578
eth,2020-01-24,209705
eth,2020-01-25,208598
eth,2020-01-26,195000
eth,2020-01-27,238758
eth,2020-01-28,231471
eth,2020-01-29,231564
eth,2020-01-30,244211
eth,2020-01-31,239398
eth,2020-02-01,236095
eth,2020-02-02,235359
eth,2020-02-03,277543
eth,2020-02-04,234304
eth,2020-02-05,274536
eth,2020-02-06,287091
eth,2020-02-07,285999
eth,2020-02-08,348397
eth,2020-02-09,305845
eth,2020-02-10,318635
eth,2020-02-11,319771
eth,2020-02-12,394534
eth,2020-02-13,374630
eth,2020-02-14,323942
eth,2020-02-15,343999
eth,2020-02-16,337792
eth,2020-02-17,333123
eth,2020-02-18,344572
eth,2020-02-19,333141
eth,2020-02-20,317504
eth,2020-02-21,323587
eth,2020-02-22,314925
eth,2020-02-23,311622
eth,2020-02-24,320273
eth,2020-02-25,308551
eth,2020-02-26,368983
eth,2020-02-27,367385
eth,2020-02-28,387502
eth,2020-02-29,294354
eth,2020-03-01,321679
eth,2020-03-02,332395
eth,2020-03-03,335468
eth,2020-03-04,313708
eth,2020-03-05,321218
eth,2020-03-06,332267
eth,2020-03-07,290494
eth,2020-03-08,327289
eth,2020-03-09,383558
eth,2020-03-10,326753
eth,2020-03-11,348656
eth,2020-03-12,408928
eth,2020-03-13,400311
eth,2020-03-14,460743
eth,2020-03-15,438224
eth,2020-03-16,473741
eth,2020-03-17,445445
eth,2020-03-18,434714
eth,2020-03-19,465615
eth,2020-03-20,497777
eth,2020-03-21,537404
eth,2020-03-22,379207
eth,2020-03-23,426308
eth,2020-03-24,387996
eth,2020-03-25,380672
eth,2020-03-26,411661
eth,2020-03-27,394055
eth,2020-03-28,376618
eth,2020-03-29,318335
eth,2020-03-30,344397
eth,2020-03-31,353932
eth,2020-04-01,333042
eth,2020-04-02,340841
eth,2020-04-03,327371
eth,2020-04-04,325061
eth,2020-04-05,309777
eth,2020-04-06,388788
eth,2020-04-07,365713
eth,2020-04-08,419382
eth,2020-04-09,383729
eth,2020-04-10,376454
eth,2020-04-11,387711
eth,2020-04-12,365811
eth,2020-04-13,380405
eth,2020-04-14,384946
eth,2020-04-15,366353
eth,2020-04-16,368015
eth,2020-04-17,384794
eth,2020-04-18,408020
eth,2020-04-19,377254
eth,2020-04-20,386452
eth,2020-04-21,371823
eth,2020-04-22,369457
eth,2020-04-23,412555
eth,2020-04-24,391035
eth,2020-04-25,385847
eth,2020-04-26,397842
eth,2020-04-27,390999
eth,2020-04-28,404598
eth,2020-04-29,427482
eth,2020-04-30,417656
eth,2020-05-01,404034
eth,2020-05-02,398595
eth,2020-05-03,401201
eth,2020-05-04,362848
eth,2020-05-05,366254
eth,2020-05-06,384165
eth,2020-05-07,401731
eth,2020-05-08,407113
eth,2020-05-09,412090
eth,2020-05-10,415159
eth,2020-05-11,414250
eth,2020-05-12,378729
eth,2020-05-13,365732
eth,2020-05-14,364002
eth,2020-05-15,377934
eth,2020-05-16,375179
eth,2020-05-17,375674
eth,2020-05-18,381426
eth,2020-05-19,402897
eth,2020-05-20,385900
eth,2020-05-21,399759
eth,2020-05-22,413266
eth,2020-05-23,403516
eth,2020-05-24,366826
eth,2020-05-25,384146
eth,2020-05-26,399709
eth,2020-05-27,375085
eth,2020-05-28,405928
eth,2020-05-29,448382
eth,2020-05-30,420854
eth,2020-05-31,411586
eth,2020-06-01,418707
eth,2020-06-02,459219
eth,2020-06-03,418567
eth,2020-06-04,464243
eth,2020-06-05,562284
eth,2020-06-06,453437
eth,2020-06-07,395673
eth,2020-06-08,440239
eth,2020-06-09,436143
eth,2020-06-10,402483
eth,2020-06-11,409839
eth,2020-06-12,448201
eth,2020-06-13,443429
eth,2020-06-14,411985
eth,2020-06-15,442189
eth,2020-06-16,429484
eth,2020-06-17,396283
eth,2020-06-18,469733
eth,2020-06-19,457647
eth,2020-06-20,496236
eth,2020-06-21,470005
eth,2020-06-22,447809
eth,2020-06-23,489995
eth,2020-06-24,485760
eth,2020-06-25,498356
eth,2020-06-26,503748
eth,2020-06-27,489823
eth,2020-06-28,513042
eth,2020-06-29,545051
eth,2020-06-30,512942
eth,2020-07-01,504674
eth,2020-07-02,542715
eth,2020-07-03,506616
eth,2020-07-04,530885
eth,2020-07-05,564010
eth,2020-07-06,521875
eth,2020-07-07,548179
eth,2020-07-08,515130
